Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current 	 Lift Position 	 Lift Rate
716.493834	-5.261811023622047	-5.261811023622047	-5.261811023622047	-8.25	-8.25	-8.25	3.625	6.5	5.25	15.375	13.125	13.875	124.68173710006907	0.1235302757526842	0.0	0.0	787.1448889128443	-4.607274601765389	1290.943253213118	NaN	0.0	0.875	0.0	0.0
716.593247	-5.293700787401575	-5.293700787401575	-5.293700787401575	-8.100000000000001	-8.100000000000001	-8.100000000000001	3.625	5.75	4.75	15.125	13.5	13.875	124.69351025760318	0.11978369846473777	0.0	0.0	781.6910840662124	-4.608036199984442	1294.625199803125	NaN	0.0	0.875	0.0	0.0
716.693716	-5.518897637795276	-5.518897637795276	-5.518897637795276	-8.15	-8.15	-8.15	3.875	4.875	7.25	15.25	13.375	13.5	124.70552699770695	0.11910250259420206	0.0	0.0	776.2749783314235	-4.608699770709952	1298.470509211119	Infinity	0.0	0.875	0.0	0.0
716.793282	-5.300787401574803	-5.300787401574803	-5.300787401574803	-7.65	-7.65	-7.65	4.0	7.375	5.375	15.5	13.625	14.25	124.7172426426899	0.11688861601496099	0.0	0.0	771.147899120765	-4.5249239666142245	1302.3032522484987	NaN	0.0	0.875	0.0	0.0
716.893778	-6.264566929133859	-6.264566929133859	-6.264566929133859	-7.800000000000001	-7.800000000000001	-7.800000000000001	4.625	5.625	6.875	15.875	14.125	14.5	124.72879589929305	0.11705891498259491	0.0	0.0	766.0836517631783	-4.423377537407282	1306.2490926214073	NaN	0.0	0.875	0.0	0.0
716.993388	-7.4	-7.4	-7.4	-7.4	-7.4	-7.4	5.75	7.625	8.375	14.75	13.625	13.625	124.74045403172481	0.11603712117679135	0.0	0.0	761.2078999648069	-4.331801425919502	1310.7227205601191	NaN	0.0	1.0	0.0	0.0
717.093818	-7.15	-7.15	-7.15	-7.15	-7.15	-7.15	9.625	11.75	11.75	14.75	13.625	13.625	124.75202082069298	0.11671831704732706	0.0	0.0	756.6337410611802	-4.172695263325455	1315.7995342883203	Infinity	0.0	0.875	0.0	0.0
717.193292	-6.95	-6.95	-6.95	-6.95	-6.95	-6.95	8.875	10.375	11.875	15.0	13.25	13.75	124.76367895312471	0.11859160569130028	0.0	0.0	752.323475940455	-3.9872037859741063	1321.0648435757369	NaN	0.0	0.875	0.0	0.0
717.293893	-7.1	-7.1	-7.1	-7.1	-7.1	-7.1	7.75	9.875	10.5	15.5	14.375	14.25	124.77552315557497	0.1211460902058092	0.0	0.0	748.2017063789451	-3.8128505778461665	1326.4055510868395	NaN	0.0	0.875	0.0	0.0
717.393357	-6.95	-6.95	-6.95	-6.95	-6.95	-6.95	7.375	9.375	9.625	16.375	15.375	14.5	124.78730984547407	0.11791040982076458	0.0	0.0	744.067370446821	-3.677455338903576	1331.7588249685564	NaN	0.0	1.0	0.0	0.0
717.493886	-6.800000000000001	-6.800000000000001	-6.800000000000001	-6.800000000000001	-6.800000000000001	-6.800000000000001	7.625	8.875	10.625	15.125	14.875	14.625	124.80189773492438	0.12267878091451456	0.0	0.0	739.9832999971543	-3.528487062393721	1336.923603291058	NaN	0.0	0.875	0.0	0.0
717.593553	-6.9	-6.9	-6.9	-6.9	-6.9	-6.9	8.125	10.875	11.125	15.375	14.625	14.625	124.81390432575442	0.12233818297924669	0.0	0.0	736.0123268830167	-3.4421893544043223	1342.0004170192592	NaN	0.0	0.875	0.0	0.0
717.694084	-10.600000000000001	-10.600000000000001	-10.600000000000001	-10.600000000000001	-10.600000000000001	-10.600000000000001	3.875	5.25	4.625	6.875	6.875	6.25	124.82571469729224	0.11501532737098778	0.0	0.0	734.5671942623654	-2.963446535519445	1345.946257392168	NaN	0.0	0.875	0.0	0.0
717.794575	-7.1	-7.1	-7.1	-7.1	-7.1	-7.1	4.375	5.375	4.75	7.25	0.875	8.625	124.8373288495378	0.12148668814107706	0.0	0.0	733.9388757316475	-2.383817506785835	1349.6030712409465	NaN	0.0	1.0	0.0	0.0
717.895002	-10.850000000000001	-10.850000000000001	-10.850000000000001	-10.850000000000001	-10.850000000000001	-10.850000000000001	4.375	5.5	4.625	8.0	0.875	10.125	124.84880429504233	0.11501532737098778	0.0	0.0	733.674981948746	-1.7229278751155672	1352.8577612300655	NaN	0.0	0.875	0.0	0.0
717.995584	-6.1	-6.1	-6.1	-6.1	-6.1	-6.1	5.0	6.0	5.0	9.625	0.875	10.0	124.86059098494142	0.11263114182411278	0.0	0.0	733.4487872776875	-1.0929504175838314	1355.7354601007537	NaN	0.0	1.0	0.0	0.0
718.095096	-10.9	-10.9	-10.9	-10.9	-10.9	-10.9	5.25	6.375	4.75	9.625	0.875	9.375	124.87212394299708	0.11569652324152349	0.0	0.0	733.2100262360146	-0.4663243273526552	1358.2361678530112	NaN	0.0	0.875	0.0	0.0
718.195497	-5.95	-5.95	-5.95	-5.95	-5.95	-5.95	6.625	7.375	6.5	8.5	0.875	8.625	124.88344038321307	0.11212024492121099	0.0	0.0	733.0969289004854	-0.24253510017416646	1360.297052633766	NaN	0.0	1.0	0.0	0.0
718.340894	-10.9	-10.9	-10.9	-10.9	-10.9	-10.9	6.25	7.375	6.0	8.375	1.0	9.125	124.89930708115415	0.12097579123817527	0.0	0.0	732.6445395583685	-0.193646754222413	1363.049087798311	NaN	0.0	0.875	0.0	0.0
718.396278	-10.9	-10.9	-10.9	-10.9	-10.9	-10.9	6.875	8.0	6.625	8.75	1.0	9.125	124.90651983168942	0.12199758504397885	0.0	0.0	732.5691413346824	-0.1674055482590347	1363.8659018882443	NaN	0.0	0.875	0.0	0.0
718.496665	0.055859375	0.055859375	0.055859375	-0.16757812500000002	-0.16757812500000002	-0.16757812500000002	8.375	7.875	7.375	3.25	0.875	8.75	124.9185298056107	0.11552622427388956	0.0	0.0	732.5314422228392	-0.13389522662074357	1365.5120964387252	NaN	0.0	1.0	0.0	0.0
718.596371	0.086328125	0.086328125	0.086328125	-0.25898437500000004	-0.25898437500000004	-0.25898437500000004	2.125	3.625	2.5	0.25	0.875	0.75	124.9304721177071	0.12182728607634492	0.0	0.0	732.6445395583685	-0.07525216375373409	1366.1529813400575	NaN	0.0	0.875	0.0	0.0
718.696932	0.08671875000000001	0.08671875000000001	0.08671875000000001	-0.26015625000000003	-0.26015625000000003	-0.26015625000000003	0.625	1.75	0.5	0.125	0.875	0.5	124.94174457773687	0.11501532737098778	0.0	0.0	732.6445395583685	-0.058497002934588524	1366.278645046201	NaN	0.0	0.875	0.0	0.0
718.796344	0.087109375	0.087109375	0.087109375	-0.261328125	-0.261328125	-0.261328125	0.625	1.75	0.625	0.125	0.875	0.5	124.95328091888379	0.11450443046808598	0.0	0.0	732.6319731877542	-0.0068543839714686385	1366.2158131931294	NaN	0.0	0.875	0.0	0.0
718.896932	0.0875	0.0875	0.0875	-0.26249999999999996	-0.26249999999999996	-0.26249999999999996	0.625	1.75	0.625	0.125	0.875	0.5	124.96469208565465	0.11620742014442528	0.0	0.0	732.6319731877542	0.008377580409572783	1366.2283795637436	NaN	0.0	0.875	0.0	0.0
718.997336	0.439453125	0.439453125	0.439453125	-0.263671875	-0.263671875	-0.263671875	0.625	1.75	0.625	0.125	0.875	0.5	124.97636036736016	0.11603712117679135	0.0	0.0	732.6319731877542	0.016755160819145565	1366.2283795637436	NaN	0.0	0.875	0.0	0.0
719.097821	9.55	9.55	9.55	-0.22382812500000002	-0.22382812500000002	-0.22382812500000002	0.625	1.75	0.5	0.125	0.875	0.5	124.9880320321569	0.11910250259420206	0.0	0.0	732.6319731877542	0.0	1365.2984681382811	NaN	0.0	0.875	0.0	0.0
719.197365	10.7	10.7	10.7	10.7	10.7	10.7	26.375	16.625	14.25	0.625	3.625	1.125	124.99964280131124	0.11229054388884492	0.0	0.0	732.7073714114404	0.008462202433911903	1363.1747515044544	NaN	0.0	1.0	0.0	0.0
719.298036	2.830078125	2.830078125	2.830078125	0.41338582677165353	0.41338582677165353	0.41338582677165353	6.5	8.0	6.125	8.125	38.5	9.625	125.01133476465544	0.12540356439665742	0.0	0.0	732.9209997118844	0.04993537277833161	1362.282539190835	NaN	0.0	0.875	0.0	0.0
719.398508	0.08515625	0.08515625	0.08515625	-0.08515625	-0.08515625	-0.08515625	8.5	7.0	3.75	0.375	0.875	0.75	125.02279667779499	0.11212024492121099	0.0	0.0	732.8204687469696	0.03318021195918605	1361.2395304298432	NaN	0.0	0.875	0.0	0.0
